id,text,date,rating,correct_answer,author_id
41,answer#41,2014/11/11/23/56/18,1,0,0
42,answer#42,2013/4/1/12/13/10,4,0,0
43,answer#43,2015/7/21/7/24/38,5,0,1
44,answer#44,2013/11/25/9/15/17,6,0,0
45,answer#45,2013/2/26/16/30/1,0,0,1
46,answer#46,2013/8/2/23/19/26,5,0,0
47,answer#47,2013/4/20/3/24/43,10,0,0
48,answer#48,2013/12/18/6/51/2,6,0,0
49,answer#49,2015/11/6/5/55/51,7,0,0
50,answer#50,2014/3/11/10/57/9,8,0,1
51,answer#51,2015/6/7/14/24/13,9,0,0
52,answer#52,2013/6/5/10/43/14,9,0,1
53,answer#53,2014/6/22/5/38/11,3,0,1
54,answer#54,2015/9/28/20/34/37,10,0,1
55,answer#55,2015/3/1/2/13/33,5,0,1
56,answer#56,2014/6/1/22/40/46,3,0,1
57,answer#57,2014/3/22/16/57/19,3,0,1
58,answer#58,2015/6/2/11/20/24,5,0,1
59,answer#59,2015/9/23/1/4/55,5,0,0
60,answer#60,2015/1/21/12/37/33,1,0,0
61,answer#61,2014/3/17/7/35/43,2,0,1
62,answer#62,2015/1/9/18/43/5,1,0,0
63,answer#63,2015/11/2/12/1/55,2,0,1
64,answer#64,2015/2/18/2/5/50,1,0,1
65,answer#65,2015/5/21/12/48/29,9,0,1
66,answer#66,2013/3/21/17/55/28,4,0,1
67,answer#67,2015/6/19/14/23/57,1,0,1
68,answer#68,2014/8/29/8/50/51,8,0,0
69,answer#69,2015/1/19/16/17/25,0,0,1
70,answer#70,2014/2/5/8/18/16,8,0,1
71,answer#71,2014/4/28/5/32/50,2,0,1
72,answer#72,2013/8/21/3/51/9,6,0,0
73,answer#73,2014/9/8/0/25/16,7,0,0
74,answer#74,2015/1/29/14/51/29,2,0,0
75,answer#75,2014/12/5/3/44/59,10,0,1
76,answer#76,2013/8/2/21/53/26,4,0,1
77,answer#77,2014/6/29/19/5/19,0,0,0
78,answer#78,2014/6/14/23/2/17,8,0,1
79,answer#79,2015/7/19/23/57/25,5,0,1
80,answer#80,2014/1/28/10/50/39,7,0,1
81,answer#81,2013/2/17/7/41/31,4,0,0
82,answer#82,2013/10/3/9/41/14,6,0,0
83,answer#83,2015/10/22/14/6/38,0,0,0
84,answer#84,2013/10/1/20/35/6,0,0,0
85,answer#85,2014/9/24/16/43/51,6,0,1
86,answer#86,2013/8/26/10/49/39,2,0,1
87,answer#87,2015/6/5/12/9/25,7,0,1
88,answer#88,2015/5/14/19/20/42,1,0,1
89,answer#89,2015/7/8/12/31/54,3,0,1
90,answer#90,2015/4/24/17/28/11,6,0,1
91,answer#91,2013/7/21/19/6/6,1,0,0
92,answer#92,2013/2/29/6/9/43,0,0,0
93,answer#93,2013/11/5/4/53/48,3,0,1
94,answer#94,2015/9/7/17/12/13,5,0,0
95,answer#95,2015/4/20/7/51/58,5,0,1
96,answer#96,2015/1/15/8/58/50,10,0,0
97,answer#97,2015/1/22/1/53/50,2,0,0
98,answer#98,2015/2/10/1/32/29,7,0,0
99,answer#99,2013/6/26/20/15/26,3,0,1
100,answer#100,2013/9/1/13/23/7,3,0,0
101,answer#101,2014/10/7/14/32/59,1,0,0
102,answer#102,2015/2/1/10/18/15,10,0,1
103,answer#103,2014/1/6/12/25/48,0,0,1
104,answer#104,2013/9/4/5/56/57,1,0,1
105,answer#105,2013/4/13/19/0/6,10,0,1
106,answer#106,2013/6/8/5/52/20,6,0,0
107,answer#107,2014/1/7/10/36/16,10,0,0
108,answer#108,2014/10/22/9/25/52,0,0,0
109,answer#109,2014/11/29/20/30/41,7,0,0
110,answer#110,2014/6/23/1/10/21,4,0,1
111,answer#111,2015/1/30/16/51/9,1,0,0
112,answer#112,2014/6/17/14/29/0,2,0,1
113,answer#113,2015/1/6/13/29/21,8,0,1
114,answer#114,2014/2/16/20/31/55,5,0,0
115,answer#115,2015/7/29/22/9/28,6,0,1
116,answer#116,2014/3/1/22/23/11,5,0,0
117,answer#117,2014/1/17/10/17/16,5,0,0
118,answer#118,2014/8/15/5/56/58,5,0,0
119,answer#119,2015/11/4/17/45/38,3,0,1
120,answer#120,2014/11/6/21/21/33,0,0,1
121,answer#121,2013/12/25/19/42/53,1,0,0
122,answer#122,2013/3/13/22/4/4,10,0,1
123,answer#123,2013/7/3/8/3/32,0,0,1
124,answer#124,2015/5/4/13/47/39,2,0,1
125,answer#125,2013/2/12/8/28/29,3,0,1
126,answer#126,2014/12/13/19/9/15,2,0,0
127,answer#127,2015/9/25/5/39/6,3,0,1
128,answer#128,2013/5/16/18/49/59,9,0,1
129,answer#129,2015/9/22/7/29/11,5,0,1
130,answer#130,2014/6/27/20/4/32,3,0,0
131,answer#131,2013/10/21/4/19/19,8,0,0
132,answer#132,2015/11/2/21/6/6,9,0,1
133,answer#133,2015/11/26/3/59/26,6,0,0
134,answer#134,2013/2/6/14/34/16,4,0,1
135,answer#135,2013/5/25/11/37/16,3,0,1
136,answer#136,2015/3/14/6/42/23,10,0,0
137,answer#137,2015/6/28/21/34/20,10,0,1
138,answer#138,2014/6/23/1/19/12,4,0,0
139,answer#139,2013/4/24/15/57/33,10,0,1
140,answer#140,2015/8/22/11/24/57,10,0,0
141,answer#141,2013/9/1/10/46/13,3,0,1
142,answer#142,2014/9/20/11/54/26,4,0,0
143,answer#143,2015/12/15/17/4/28,6,0,0
144,answer#144,2015/1/11/18/1/16,4,0,1
145,answer#145,2015/6/16/4/37/32,10,0,0
146,answer#146,2014/4/29/23/0/23,3,0,1
147,answer#147,2014/10/8/19/9/23,9,0,1
148,answer#148,2015/7/22/4/56/38,9,0,1
149,answer#149,2015/3/12/0/41/56,8,0,0
150,answer#150,2014/12/1/23/22/52,9,0,0
151,answer#151,2013/2/1/1/44/51,10,0,1
152,answer#152,2013/2/13/3/7/51,1,0,0
153,answer#153,2015/3/14/10/45/40,7,0,0
154,answer#154,2014/3/15/9/40/12,4,0,0
155,answer#155,2013/12/18/8/29/27,8,0,1
156,answer#156,2014/2/7/10/1/38,7,0,0
157,answer#157,2013/6/28/1/11/15,1,0,1
158,answer#158,2015/8/11/0/41/2,7,0,1
159,answer#159,2015/9/9/23/22/53,5,0,1
160,answer#160,2015/4/11/7/30/43,2,0,0
161,answer#161,2015/10/26/15/11/54,3,0,1
162,answer#162,2013/10/20/12/49/50,10,0,1
163,answer#163,2014/12/15/11/59/32,10,0,0
